Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Third round,1,Thu,2024-09-05,20:00 (20:30),Korea Republic kr,0–0,ps Palestine,59579,Seoul World Cup Stadium,Alireza Faghani,Match Report,
Third round,1,Thu,2024-09-05,20:10 (19:40),Australia au,0–1,bh Bahrain,24644,Cbus Super Stadium,Omar Mohamed Al Ali,Match Report,
Third round,1,Thu,2024-09-05,20:30 (01:30),IR Iran ir,1–0,kg Kyrgyz Republic,12077,Folād Shahr Stadium,Yūsuke Araki,Match Report,
Third round,1,Thu,2024-09-05,21:00 (03:30),Saudi Arabia sa,1–1,id Indonesia,42386,Al Inma Stadium,Adham Makhadmeh,Match Report,
Third round,1,Thu,2024-09-05,21:00 (03:30),Jordan jo,1–1,kw Kuwait,13555,Amman International Stadium,Adel Ali Al Naqbi,Match Report,
,,,,,,,,,,,,
Third round,2,Tue,2024-09-10,18:00 (23:30),Oman om,1–3,kr Korea Republic,27144,Sultan Qaboos Sport Complex,Ma Ning,Match Report,
Third round,2,Tue,2024-09-10,19:00 (21:30),Korea DPR kp,2–2,qa Qatar,140,Lao National Stadium KM16 (Neutral Site),Nazmi Nasaruddin,Match Report,
Third round,2,Tue,2024-09-10,19:00 (01:30),Bahrain bh,0–5,jp Japan,22729,Stād Al Bahrayn Al Watanī,Rustam Lutfullin,Match Report,
Third round,2,Tue,2024-09-10,19:00 (21:30),Indonesia id,0–0,au Australia,70059,Stadion Utama Gelora Bung Karno,Salman Ahmad Falahi,Match Report,
Third round,2,Tue,2024-09-10,20:00 (23:30),Kyrgyz Republic kg,2–3,uz Uzbekistan,13282,Stadion imeni Dolena Omurzakova,Ahmad Al Ali,Match Report,
Third round,2,Tue,2024-09-10,20:00 (21:30),China PR cn,1–2,sa Saudi Arabia,48628,Dalian Suoyuwan Football Stadium,Sadullo Gulmurodi,Match Report,
Third round,2,Tue,2024-09-10,20:00 (01:30),UAE ae,0–1,ir IR Iran,17826,Hazza bin Zayed Stadium,Kim Jonghyeok,Match Report,
Third round,2,Tue,2024-09-10,21:00 (03:30),Kuwait kw,0–0,iq Iraq,58000,Jaber Al-Ahmad International Stadium,Hiroyuki Kimura,Match Report,
Third round,2,Tue,2024-09-10,22:00 (23:30),Palestine ps,1–3,jo Jordan,3012,Stadium Bola Sepak Kuala Lumpur (Neutral Site),Majed Mohammed Al Shamrani,Match Report,
,,,,,,,,,,,,
Third round,3,Thu,2024-10-10,17:00 (23:30),Jordan jo,0–2,kr Korea Republic,14655,Amman International Stadium,Hiroyuki Kimura,Match Report,
Third round,3,Thu,2024-10-10,19:00 (01:30),Qatar qa,3–1,kg Kyrgyz Republic,25195,Al Thumama Stadium,Taqi Aljaafari,Match Report,
Third round,3,Thu,2024-10-10,19:00 (23:30),Uzbekistan uz,0–0,ir IR Iran,33829,Milliy Stadioni,Shaun Evans,Match Report,
Third round,3,Thu,2024-10-10,19:00 (01:30),Bahrain bh,2–2,id Indonesia,10731,Stād Al Bahrayn Al Watanī,Ahmed Abu Bakar Al Kaf,Match Report,
Third round,3,Thu,2024-10-10,19:40 (18:40),Australia au,3–1,cn China PR,46291,Adelaide Oval,Nazmi Nasaruddin,Match Report,
Third round,3,Thu,2024-10-10,20:00 (01:30),UAE ae,1–1,kp Korea DPR,8536,Hazza bin Zayed Stadium,Adham Makhadmeh,Match Report,
Third round,3,Thu,2024-10-10,20:00 (01:30),Oman om,4–0,kw Kuwait,25891,Sultan Qaboos Sport Complex,Alireza Faghani,Match Report,
Third round,3,Thu,2024-10-10,21:00 (03:30),Saudi Arabia sa,0–2,jp Japan,56283,Al Inma Stadium,Kim Jonghyeok,Match Report,
Third round,3,Thu,2024-10-10,21:00 (03:30),Iraq iq,1–0,ps Palestine,44773,Basra Sports City Stadium,Adel Ali Al Naqbi,Match Report,
,,,,,,,,,,,,
Third round,4,Tue,2024-10-15,19:00 (01:30),Jordan jo,4–0,om Oman,14515,Amman International Stadium,Khalid Saleh Al Turais,Match Report,
Third round,4,Tue,2024-10-15,19:00 (01:30),Palestine ps,2–2,kw Kuwait,1827,Jassim bin Hamad Stadium (Neutral Site),Abdulrahman Ibrahim Al Jassim,Match Report,
Third round,4,Tue,2024-10-15,19:00 (23:30),Uzbekistan uz,1–0,ae UAE,32773,Milliy Stadioni,Ma Ning,Match Report,
Third round,4,Tue,2024-10-15,19:30 (01:30),IR Iran ir,4–1,qa Qatar,7890,Rashid Stadium (Neutral Site),Yūsuke Araki,Match Report,
Third round,4,Tue,2024-10-15,19:35 (20:05),Japan jp,1–1,au Australia,58730,Saitama Stadium 2002,Ahmad Al Ali,Match Report,
Third round,4,Tue,2024-10-15,20:00 (21:30),China PR cn,2–1,id Indonesia,37133,Qingdao Youth Football Stadium,Omar Mohamed Al Ali,Match Report,
Third round,4,Tue,2024-10-15,20:00 (20:30),Korea Republic kr,3–2,iq Iraq,35198,Yongin Mireu Stadium,Rustam Lutfullin,Match Report,
Third round,4,Tue,2024-10-15,20:00 (23:30),Kyrgyz Republic kg,1–0,kp Korea DPR,9769,Stadion imeni Dolena Omurzakova,Mohammed Khaled Al Hoish,Match Report,
Third round,4,Tue,2024-10-15,21:00 (03:30),Saudi Arabia sa,0–0,bh Bahrain,35437,Al Inma Stadium,Salman Ahmad Falahi,Match Report,
,,,,,,,,,,,,
Third round,5,Thu,2024-11-14,17:00 (23:30),Bahrain bh,0–1,cn China PR,7921,Stād Al Bahrayn Al Watanī,Adham Makhadmeh,Match Report,
